Algorithm;Iteration;TimeMs;Manhattan;Fitness;BestPathLength
ACO;27;229.93;75;-93.0000;93
ACO;33;281.60;75;-93.0000;93
ACO;39;332.60;75;-93.0000;93
ACO;45;384.01;75;-93.0000;93
ACO;49;459.41;75;-93.0000;93
ACO;55;510.29;75;-93.0000;93
ACO;61;561.36;75;-93.0000;93
ACO;67;613.21;75;-93.0000;93
ACO;69;630.53;75;-87.0000;87
ACO;75;681.82;75;-87.0000;87
ACO;81;735.12;75;-87.0000;87
ACO;87;787.55;75;-87.0000;87
ACO;93;841.77;75;-87.0000;87
ACO;99;892.42;75;-87.0000;87
ACO;105;945.40;75;-87.0000;87
ACO;111;996.07;75;-87.0000;87
ACO;1;9.25;49;-65.0000;65
ACO;2;17.43;49;-58.0000;58
ACO;3;26.15;49;-54.0000;54
ACO;12;82.12;49;-54.0000;54
ACO;14;136.98;49;-54.0000;54
ACO;23;189.98;49;-54.0000;54
ACO;32;243.87;49;-54.0000;54
ACO;41;298.35;49;-54.0000;54
ACO;50;353.97;49;-54.0000;54
ACO;59;407.99;49;-54.0000;54
ACO;68;463.15;49;-54.0000;54
ACO;77;518.30;49;-54.0000;54
ACO;86;572.95;49;-54.0000;54
ACO;95;626.44;49;-54.0000;54
ACO;104;678.10;49;-54.0000;54
ACO;113;732.32;49;-54.0000;54
ACO;121;820.65;49;-54.0000;54
ACO;131;874.65;49;-54.0000;54
ACO;140;927.97;49;-54.0000;54
ACO;149;982.02;49;-54.0000;54
ACO;1;9.72;78;-90.0000;90
ACO;6;53.35;78;-82.0000;82
ACO;9;79.59;78;-81.0000;81
ACO;15;131.57;78;-81.0000;81
ACO;21;182.69;78;-81.0000;81
ACO;27;233.39;78;-81.0000;81
ACO;33;285.13;78;-81.0000;81
ACO;39;340.12;78;-81.0000;81
ACO;45;392.46;78;-81.0000;81
ACO;51;443.68;78;-81.0000;81
ACO;55;518.11;78;-81.0000;81
ACO;61;574.76;78;-81.0000;81
ACO;67;625.37;78;-81.0000;81
ACO;73;677.22;78;-81.0000;81
ACO;79;727.65;78;-81.0000;81
ACO;85;778.30;78;-81.0000;81
ACO;91;831.11;78;-81.0000;81
ACO;97;884.45;78;-81.0000;81
ACO;103;938.84;78;-81.0000;81
ACO;109;990.01;78;-81.0000;81
ACO;1;3.22;40;-49.0000;49
ACO;25;55.07;40;-49.0000;49
ACO;49;106.18;40;-49.0000;49
ACO;71;157.81;40;-49.0000;49
ACO;93;208.02;40;-49.0000;49
ACO;115;258.96;40;-49.0000;49
ACO;138;310.16;40;-49.0000;49
ACO;161;360.66;40;-49.0000;49
ACO;183;412.93;40;-49.0000;49
ACO;205;463.23;40;-49.0000;49
ACO;212;522.15;40;-49.0000;49
ACO;236;573.04;40;-49.0000;49
ACO;260;623.72;40;-49.0000;49
ACO;284;674.19;40;-49.0000;49
ACO;300;708.49;40;-44.0000;44
ACO;323;760.09;40;-44.0000;44
ACO;345;810.94;40;-44.0000;44
ACO;367;861.11;40;-44.0000;44
ACO;389;911.45;40;-44.0000;44
ACO;412;963.59;40;-44.0000;44
ACO;50;488.89;74;-132.0000;132
ACO;56;542.55;74;-132.0000;132
ACO;62;596.87;74;-132.0000;132
ACO;68;653.48;74;-132.0000;132
ACO;70;671.85;74;-100.0000;100
ACO;76;725.33;74;-100.0000;100
ACO;77;734.52;74;-91.0000;91
ACO;81;771.09;74;-82.0000;82
ACO;87;828.14;74;-82.0000;82
ACO;89;889.40;74;-82.0000;82
ACO;95;942.56;74;-82.0000;82
ACO;101;996.06;74;-82.0000;82
ACO;1;9.57;80;-120.0000;120
ACO;4;36.89;80;-112.0000;112
ACO;7;63.87;80;-92.0000;92
ACO;12;116.39;80;-92.0000;92
ACO;14;134.90;80;-88.0000;88
ACO;20;191.17;80;-88.0000;88
ACO;26;242.67;80;-88.0000;88
ACO;32;295.59;80;-88.0000;88
ACO;37;346.39;80;-88.0000;88
ACO;40;373.10;80;-86.0000;86
ACO;46;425.41;80;-86.0000;86
ACO;52;480.91;80;-85.0000;85
ACO;58;536.55;80;-85.0000;85
ACO;60;601.14;80;-85.0000;85
ACO;66;654.58;80;-85.0000;85
ACO;72;708.13;80;-85.0000;85
ACO;78;759.26;80;-85.0000;85
ACO;84;810.90;80;-85.0000;85
ACO;90;862.72;80;-85.0000;85
ACO;96;918.78;80;-85.0000;85
ACO;102;970.86;80;-85.0000;85
ACO;1;8.96;31;-50.0000;50
ACO;4;34.45;31;-48.0000;48
ACO;5;42.69;31;-39.0000;39
ACO;9;74.99;31;-36.0000;36
ACO;16;126.56;31;-36.0000;36
ACO;23;180.44;31;-36.0000;36
ACO;29;268.68;31;-36.0000;36
ACO;36;322.90;31;-36.0000;36
ACO;43;373.72;31;-36.0000;36
ACO;50;429.18;31;-36.0000;36
ACO;57;480.58;31;-36.0000;36
ACO;64;534.74;31;-36.0000;36
ACO;71;587.83;31;-36.0000;36
ACO;78;639.82;31;-36.0000;36
ACO;85;692.75;31;-36.0000;36
ACO;92;747.15;31;-36.0000;36
ACO;99;801.19;31;-36.0000;36
ACO;106;854.26;31;-36.0000;36
ACO;109;918.11;31;-36.0000;36
ACO;116;971.37;31;-36.0000;36
ACO;1;10.77;44;-61.0000;61
ACO;2;20.57;44;-56.0000;56
ACO;3;29.85;44;-51.0000;51
ACO;9;83.44;44;-48.0000;48
ACO;15;135.35;44;-48.0000;48
ACO;21;186.59;44;-48.0000;48
ACO;28;243.21;44;-48.0000;48
ACO;35;299.51;44;-48.0000;48
ACO;42;356.72;44;-48.0000;48
ACO;49;413.24;44;-48.0000;48
ACO;56;470.29;44;-48.0000;48
ACO;63;527.29;44;-48.0000;48
ACO;68;610.93;44;-48.0000;48
ACO;75;668.16;44;-48.0000;48
ACO;82;724.40;44;-48.0000;48
ACO;88;776.70;44;-48.0000;48
ACO;94;827.01;44;-48.0000;48
ACO;100;878.87;44;-48.0000;48
ACO;106;929.06;44;-48.0000;48
ACO;113;986.75;44;-48.0000;48
ACO;1;8.90;39;-57.0000;57
ACO;3;26.48;39;-51.0000;51
ACO;4;34.53;39;-50.0000;50
ACO;5;43.24;39;-46.0000;46
ACO;7;60.49;39;-45.0000;45
ACO;9;80.92;39;-43.0000;43
ACO;16;137.31;39;-43.0000;43
ACO;23;193.91;39;-43.0000;43
ACO;29;244.74;39;-43.0000;43
ACO;33;321.79;39;-43.0000;43
ACO;40;378.17;39;-43.0000;43
ACO;47;434.59;39;-43.0000;43
ACO;54;487.79;39;-43.0000;43
ACO;61;541.19;39;-43.0000;43
ACO;68;595.47;39;-43.0000;43
ACO;75;650.37;39;-43.0000;43
ACO;82;703.92;39;-43.0000;43
ACO;89;757.92;39;-43.0000;43
ACO;96;810.96;39;-43.0000;43
ACO;103;863.91;39;-43.0000;43
ACO;110;916.76;39;-43.0000;43
ACO;116;969.74;39;-43.0000;43
ACO;1;9.64;60;-83.0000;83
ACO;2;18.77;60;-70.0000;70
ACO;6;53.83;60;-69.0000;69
ACO;9;79.12;60;-67.0000;67
ACO;14;119.40;60;-66.0000;66
ACO;21;176.55;60;-66.0000;66
ACO;28;233.07;60;-66.0000;66
ACO;35;290.74;60;-66.0000;66
ACO;42;348.27;60;-66.0000;66
ACO;49;404.94;60;-66.0000;66
ACO;56;462.22;60;-66.0000;66
ACO;62;515.30;60;-66.0000;66
ACO;68;569.71;60;-66.0000;66
ACO;74;623.41;60;-66.0000;66
ACO;77;694.11;60;-66.0000;66
ACO;83;748.28;60;-66.0000;66
ACO;89;803.15;60;-66.0000;66
ACO;93;855.22;60;-66.0000;66
ACO;99;909.81;60;-66.0000;66
ACO;106;968.39;60;-66.0000;66
ACO;15;133.83;34;-44.0000;44
ACO;21;185.65;34;-44.0000;44
ACO;22;194.97;34;-40.0000;40
ACO;28;248.13;34;-40.0000;40
ACO;34;301.05;34;-40.0000;40
ACO;40;355.26;34;-40.0000;40
ACO;42;415.48;34;-40.0000;40
ACO;43;424.08;34;-38.0000;38
ACO;49;475.36;34;-38.0000;38
ACO;55;525.41;34;-38.0000;38
ACO;61;575.47;34;-38.0000;38
ACO;67;626.33;34;-38.0000;38
ACO;73;676.46;34;-38.0000;38
ACO;79;726.64;34;-38.0000;38
ACO;85;777.81;34;-38.0000;38
ACO;91;828.51;34;-38.0000;38
ACO;98;886.57;34;-38.0000;38
ACO;104;937.19;34;-38.0000;38
ACO;111;995.04;34;-38.0000;38
ACO;4;39.10;112;-144.0000;144
ACO;5;49.37;112;-134.0000;134
ACO;8;79.09;112;-122.0000;122
ACO;14;136.01;112;-122.0000;122
ACO;20;191.81;112;-122.0000;122
ACO;26;248.08;112;-122.0000;122
ACO;32;303.77;112;-122.0000;122
ACO;38;360.05;112;-122.0000;122
ACO;44;417.53;112;-122.0000;122
ACO;46;469.95;112;-122.0000;122
ACO;48;520.23;112;-122.0000;122
ACO;51;593.72;112;-122.0000;122
ACO;53;647.69;112;-122.0000;122
ACO;56;720.97;112;-122.0000;122
ACO;58;771.87;112;-122.0000;122
ACO;60;823.58;112;-122.0000;122
ACO;62;905.26;112;-122.0000;122
ACO;65;933.71;112;-120.0000;120
ACO;71;992.88;112;-120.0000;120
ACO;1;7.89;131;-174.0000;174
ACO;2;15.23;131;-154.0000;154
ACO;3;22.29;131;-146.0000;146
ACO;4;28.96;131;-144.0000;144
ACO;8;53.44;131;-141.0000;141
ACO;9;59.91;131;-140.0000;140
ACO;12;77.10;131;-138.0000;138
ACO;14;89.58;131;-136.0000;136
ACO;24;144.48;131;-136.0000;136
ACO;34;197.33;131;-136.0000;136
ACO;44;251.26;131;-136.0000;136
